WKT,WKT,rand_point_id
"MULTIPOLYGON (((-418600176.003798 -259922942.67774,-395616567.087675 -230699334.851988,-378011773.731664 -242830158.552576,-372084542.431836 -259922942.67774,-418600176.003798 -259922942.67774)))","POLYGON ((-418600196.590729 -259922952.67774,-395616569.144263 -230699321.290697,-378011765.357802 -242830152.178529,-372084528.379978 -259922952.67774,-418600196.590729 -259922952.67774))","166"
"MULTIPOLYGON (((-233370423.980478 -259922942.67774,-233377885.427947 -251774814.396188,-196112248.174682 -237802682.869674,-195005956.083723 -241320374.933226,-198117866.677433 -259922942.67774,-233370423.980478 -259922942.67774)))","POLYGON ((-233370433.971325 -259922952.67774,-233377895.434295 -251774807.468131,-196112241.801964 -237802669.800558,-195005945.825352 -241320374.219372,-198117858.211318 -259922952.67774,-233370433.971325 -259922952.67774))","407"
"MULTIPOLYGON (((-967979544.9751 -259922942.67774,-948518991.694469 -223845219.831531,-947859936.671702 -224173137.634222,-937782861.666137 -243630977.883487,-936614134.07827 -259922942.67774,-967979544.9751 -259922942.67774)))","POLYGON ((-967979561.731202 -259922952.67774,-948518995.902316 -223845206.568447,-947859929.293569 -224173130.135829,-937782851.839141 -243630975.113609,-936614123.335208 -259922952.67774,-967979561.731202 -259922952.67774))","435"
"MULTIPOLYGON (((-1026455595.65535 -259922942.67774,-1000935484.79308 -221602000.836722,-995948773.372554 -221779404.404982,-994604835.949688 -222085559.014716,-983685698.244929 -259922942.67774,-1026455595.65535 -259922942.67774)))","POLYGON ((-1026455614.32949 -259922952.67774,-1000935490.02003 -221601990.644446,-995948772.072718 -221779394.444898,-994604827.977252 -222085550.574679,-983685684.951054 -259922952.67774,-1026455614.32949 -259922952.67774))","367"
"MULTIPOLYGON (((-331648954.817106 -251328740.033743,-336330908.812846 -250400747.286931,-333746358.40798 -229425865.915045,-330553391.180468 -225866002.199586,-326466291.883778 -229163936.979205,-321434115.648964 -246816259.170556,-331648954.817106 -251328740.033743)))","POLYGON ((-331648953.664301 -251328750.456773,-336330919.874499 -250400755.288978,-333746367.948896 -229425861.575574,-330553392.287316 -225865988.456907,-326466283.136249 -229163931.188153,-321434103.645688 -246816264.80031,-331648953.664301 -251328750.456773))","416"
"MULTIPOLYGON (((-983685677.428793 -259922942.67774,-994604815.003171 -222085559.466517,-976610070.095188 -220494452.180079,-971784178.453678 -259922942.67774,-983685677.428793 -259922942.67774)))","POLYGON ((-983685684.951054 -259922952.67774,-994604827.977252 -222085550.574679,-976610061.344007 -220494441.367279,-971784167.155092 -259922952.67774,-983685684.951054 -259922952.67774))","567"
"MULTIPOLYGON (((-372084521.263481 -259922942.67774,-378011753.04801 -242830157.154808,-359158845.23611 -233285101.633799,-349437899.391182 -239586228.829058,-346491600.383887 -252454372.729822,-350795090.034639 -259922942.67774,-372084521.263481 -259922942.67774)))","POLYGON ((-372084528.379978 -259922952.67774,-378011765.357802 -242830152.178529,-359158844.622463 -233285090.1145,-349437890.548605 -239586222.64376,-346491589.76041 -252454374.322717,-350795084.255448 -259922952.67774,-372084528.379978 -259922952.67774))","580"
"MULTIPOLYGON (((-346491582.187972 -252454362.59001,-349437879.238871 -239586227.233924,-333746380.493378 -229425881.611495,-336330928.918234 -250400746.914641,-346491582.187972 -252454362.59001)))","POLYGON ((-346491589.76041 -252454374.322717,-349437890.548605 -239586222.64376,-333746367.948896 -229425861.575574,-336330919.874499 -250400755.288978,-346491589.76041 -252454374.322717))","830"
"MULTIPOLYGON (((-936614114.026875 -259922942.67774,-937782841.266113 -243630982.743352,-926540811.549834 -240772393.733474,-910810566.200052 -246855514.33788,-909863085.876775 -255096564.480485,-911074987.917706 -259922942.67774,-936614114.026875 -259922942.67774)))","POLYGON ((-936614123.335208 -259922952.67774,-937782851.839141 -243630975.113609,-926540810.920374 -240772383.255196,-910810556.955854 -246855507.191049,-909863075.734091 -255096565.148559,-911074980.118266 -259922952.67774,-936614123.335208 -259922952.67774))","605"
"MULTIPOLYGON (((-549872969.826494 -259922942.67774,-533477526.145686 -222428078.191573,-506690353.151201 -251596591.851338,-507969019.161967 -259922942.67774,-549872969.826494 -259922942.67774)))","POLYGON ((-549872985.113452 -259922952.67774,-533477529.160002 -222428060.125175,-506690342.538293 -251596588.623605,-507969010.580424 -259922952.67774,-549872985.113452 -259922952.67774))","206"
"MULTIPOLYGON (((-310594878.125226 -259922942.67774,-310914614.455074 -252417724.555564,-301846634.442301 -243244955.468144,-286025506.149588 -247312814.409592,-289242895.851729 -259922942.67774,-310594878.125226 -259922942.67774)))","POLYGON ((-310594887.708278 -259922952.67774,-310914624.631569 -252417720.625575,-301846637.515461 -243244944.352734,-286025493.992341 -247312807.210157,-289242888.082803 -259922952.67774,-310594887.708278 -259922952.67774))","775"
"MULTIPOLYGON (((-310914626.506354 -252417708.297942,-321434095.194041 -246816257.971339,-326466269.817746 -229163941.431579,-303548020.839824 -229579989.792071,-301846648.038354 -243244940.773145,-310914626.506354 -252417708.297942)))","POLYGON ((-310914624.631569 -252417720.625575,-321434103.645688 -246816264.80031,-326466283.136249 -229163931.188153,-303548011.987874 -229579979.951118,-301846637.515461 -243244944.352734,-310914624.631569 -252417720.625575))","1013"
"MULTIPOLYGON (((-143719823.852081 -259922942.67774,-141901665.943555 -251534255.378637,-110113805.194174 -229256583.754101,-106639519.118092 -228360844.42233,-99036748.1457379 -231095336.566762,-87785387.7945293 -259922942.67774,-143719823.852081 -259922942.67774)))","POLYGON ((-143719836.251658 -259922952.67774,-141901674.887647 -251534249.435586,-110113809.447572 -229256574.523702,-106639518.632027 -228360833.970005,-99036740.4831548 -231095328.695618,-87785373.1568725 -259922952.67774,-143719836.251658 -259922952.67774))","235"
"MULTIPOLYGON (((-910810564.618434 -246855493.506115,-926540794.358183 -240772378.938343,-921595179.01167 -234802671.422264,-909574306.801874 -240097323.64497,-910810564.618434 -246855493.506115)))","POLYGON ((-910810556.955854 -246855507.191049,-926540810.920374 -240772383.255196,-921595181.893477 -234802659.225925,-909574295.544132 -240097317.676465,-910810556.955854 -246855507.191049))","408"
"MULTIPOLYGON (((-909863067.441234 -255096549.727104,-910810546.851362 -246855507.526941,-909574286.009301 -240097321.126487,-900875774.505323 -224670823.303892,-883142872.021451 -241538658.741066,-909863067.441234 -255096549.727104)))","POLYGON ((-909863075.734091 -255096565.148559,-910810556.955854 -246855507.191049,-909574295.544132 -240097317.676465,-900875776.912285 -224670807.212851,-883142854.871576 -241538661.252818,-909863075.734091 -255096565.148559))","955"
"MULTIPOLYGON (((-802045197.600924 -259922942.67774,-803498695.434469 -250327169.142105,-780765120.521012 -238269395.10269,-766519420.637596 -247739403.59233,-763227768.013895 -257989313.99309,-763449082.69285 -259922942.67774,-802045197.600924 -259922942.67774)))","POLYGON ((-802045206.200266 -259922952.67774,-803498706.383491 -250327163.629876,-780765119.945007 -238269383.477644,-766519412.186715 -247739397.202207,-763227757.833595 -257989312.988223,-763449073.772119 -259922952.67774,-802045206.200266 -259922952.67774))","328"
"MULTIPOLYGON (((-803498701.271646 -250327149.599043,-804328925.316629 -248274583.909676,-801873430.607267 -211231089.209091,-801610273.009157 -210961220.429418,-798649595.986914 -209842974.148878,-780765134.143278 -238269379.6888,-803498701.271646 -250327149.599043)))","POLYGON ((-803498706.383491 -250327163.629876,-804328935.446306 -248274585.534907,-801873440.34145 -211231084.86792,-801610278.619022 -210961211.858748,-798649591.874844 -209842961.906238,-780765119.945007 -238269383.477644,-803498706.383491 -250327163.629876))","468"
"MULTIPOLYGON (((-506690340.895413 -251596575.628421,-533477519.685733 -222428055.65758,-537085460.335682 -196524594.917595,-501304792.011369 -205941596.196723,-487259723.12709 -232720935.569981,-505476993.845966 -250807822.756744,-506690340.895413 -251596575.628421)))","POLYGON ((-506690342.538293 -251596588.623605,-533477529.160002 -222428060.125175,-537085472.311495 -196524581.42518,-501304785.20301 -205941587.648055,-487259710.841727 -232720937.464164,-505476987.531667 -250807830.579255,-506690342.538293 -251596588.623605))","897"
"MULTIPOLYGON (((-937782846.609994 -243630963.465737,-947859914.210983 -224173137.513978,-925242707.115388 -219986808.956738,-921595192.8077 -234802656.725281,-926540816.542433 -240772374.366535,-937782846.609994 -243630963.465737)))","POLYGON ((-937782851.839141 -243630975.113609,-947859929.293569 -224173130.135829,-925242699.660236 -219986797.40697,-921595181.893477 -234802659.225925,-926540810.920374 -240772383.255196,-937782851.839141 -243630975.113609))","985"
"MULTIPOLYGON (((-726168577.106511 -259922942.67774,-726070309.585898 -235744602.144191,-689011951.17597 -234267761.72654,-676717016.616718 -259922942.67774,-726168577.106511 -259922942.67774)))","POLYGON ((-726168587.147236 -259922952.67774,-726070319.546919 -235744592.533217,-689011945.001041 -234267751.472521,-676717000.735295 -259922952.67774,-726168587.147236 -259922952.67774))","679"
"MULTIPOLYGON (((-646197089.379856 -259922942.67774,-645015972.398541 -256867571.050952,-635945475.448876 -244056893.050715,-607475850.779244 -217006140.506534,-599482772.145605 -227849727.924522,-616992080.125375 -259922942.67774,-646197089.379856 -259922942.67774)))","POLYGON ((-646197103.966742 -259922952.67774,-645015981.27788 -256867566.286387,-635945483.045488 -244056886.474497,-607475849.453014 -217006125.452171,-599482760.314227 -227849727.121675,-616992074.191452 -259922952.67774,-646197103.966742 -259922952.67774))","141"
"MULTIPOLYGON (((-173681379.790061 -259922942.67774,-195005937.130451 -241320368.534131,-196112231.26375 -237802669.976525,-189876807.833058 -220067882.366115,-186758508.428367 -219269538.526716,-150646662.656536 -259922942.67774,-173681379.790061 -259922942.67774)))","POLYGON ((-173681383.538854 -259922952.67774,-195005945.825352 -241320374.219372,-196112241.801964 -237802669.800558,-189876815.493351 -220067874.004768,-186758505.001508 -219269527.326848,-150646640.398133 -259922952.67774,-173681383.538854 -259922952.67774))","0"
"MULTIPOLYGON (((-286025494.515193 -247312796.750471,-301846628.433059 -243244936.362709,-303548001.653483 -229579982.016713,-292153876.976282 -209606663.400157,-269414427.18173 -237471404.800219,-272787901.208823 -242457343.181498,-286025494.515193 -247312796.750471)))","POLYGON ((-286025493.992341 -247312807.210157,-301846637.515461 -243244944.352734,-303548011.987874 -229579979.951118,-292153878.441813 -209606645.787905,-269414414.730116 -237471404.241926,-272787894.735118 -242457351.458454,-286025493.992341 -247312807.210157))","47"
"MULTIPOLYGON (((-909574299.804753 -240097304.87282,-921595173.359642 -234802652.057661,-925242688.075247 -219986802.632197,-920227627.913855 -217363278.512368,-916744008.843251 -217447293.772789,-901040441.361663 -223825941.400018,-900875787.432288 -224670805.509996,-909574299.804753 -240097304.87282)))","POLYGON ((-909574295.544132 -240097317.676465,-921595181.893477 -234802659.225925,-925242699.660236 -219986797.40697,-920227630.257891 -217363268.452929,-916744006.774102 -217447283.819783,-901040432.582034 -223825934.172749,-900875776.912285 -224670807.212851,-909574295.544132 -240097317.676465))","443"
"MULTIPOLYGON (((-766519419.171998 -247739380.550699,-780765112.622937 -238269376.337129,-798649578.536623 -209842964.328078,-792446177.913655 -205127216.683871,-787865542.752125 -203341003.831471,-761379179.507242 -220969938.178971,-766519419.171998 -247739380.550699)))","POLYGON ((-766519412.186715 -247739397.202207,-780765119.945007 -238269383.477644,-798649591.874844 -209842961.906238,-792446182.850965 -205127207.875763,-787865541.540318 -203340992.625523,-761379168.433238 -220969933.537156,-766519412.186715 -247739397.202207))","749"
"MULTIPOLYGON (((-763227752.718845 -257989296.209689,-766519401.884169 -247739396.578004,-761379159.806776 -220969941.641699,-740032337.407999 -215471904.938832,-737989759.210527 -216706363.265686,-730959149.707302 -232514605.767086,-763227752.718845 -257989296.209689)))","POLYGON ((-763227757.833595 -257989312.988223,-766519412.186715 -247739397.202207,-761379168.433238 -220969933.537156,-740032335.832383 -215471894.206666,-737989751.349861 -216706356.33197,-730959137.413143 -232514608.802026,-763227757.833595 -257989312.988223))","161"
"MULTIPOLYGON (((-41508291.1456814 -259922942.67774,-29359398.2359686 -238455251.588973,-5928949.70162528 -216615519.701616,21259242.8768576 -238387568.10988,34646154.1334426 -258021909.157293,34646154.1334426 -259922942.67774,-41508291.1456814 -259922942.67774)))","POLYGON ((-41508308.2950904 -259922952.67774,-29359406.1806617 -238455245.323788,-5928950.19750905 -216615506.493328,21259250.2959459 -238387561.239827,34646164.1334426 -258021906.072617,34646164.1334426 -259922952.67774,-41508308.2950904 -259922952.67774))","881"
"MULTIPOLYGON (((-255413275.902253 -259922942.67774,-272608401.485768 -243518835.126182,-272787884.206901 -242457353.74291,-269414408.672287 -237471413.13354,-244883507.733506 -231981291.388139,-233377905.431827 -251774810.167648,-233370443.980486 -259922942.67774,-255413275.902253 -259922942.67774)))","POLYGON ((-255413279.907167 -259922952.67774,-272608410.791989 -243518840.068748,-272787894.735118 -242457351.458454,-269414414.730116 -237471404.241926,-244883502.769226 -231981280.02973,-233377895.434295 -251774807.468131,-233370433.971325 -259922952.67774,-255413279.907167 -259922952.67774))","553"
"MULTIPOLYGON (((-877384114.528152 -243922644.467168,-883142849.327528 -241538652.724912,-900875767.707506 -224670802.167094,-901040421.878185 -223825936.818946,-884675464.38841 -203472328.989681,-868168452.438854 -204307432.432649,-866034137.693766 -206441772.371929,-865486587.774978 -208155923.672084,-877384114.528152 -243922644.467168)))","POLYGON ((-877384108.429439 -243922657.814926,-883142854.871576 -241538661.252818,-900875776.912285 -224670807.212851,-901040432.582034 -223825934.172749,-884675468.982412 -203472318.744478,-868168448.089435 -204307422.639901,-866034128.906464 -206441767.017115,-865486577.257129 -208155923.734895,-877384108.429439 -243922657.814926))","341"
"MULTIPOLYGON (((-866607632.493026 -259922942.67774,-877384097.388871 -243922656.306323,-865486573.066996 -208155942.820286,-839736724.712055 -235610732.488826,-840002300.373371 -238094315.967993,-849868549.198559 -259922942.67774,-866607632.493026 -259922942.67774)))","POLYGON ((-866607637.814494 -259922952.67774,-877384108.429439 -243922657.814926,-865486577.257129 -208155923.734895,-839736714.281177 -235610728.992527,-840002290.600544 -238094318.625585,-849868542.744402 -259922952.67774,-866607637.814494 -259922952.67774))","297"
"MULTIPOLYGON (((-150646635.905448 -259922942.67774,-186758489.967345 -219269529.19406,-186587925.104238 -219153499.224191,-176071277.333806 -216102483.741787,-174713779.771103 -216161391.052829,-142268477.220428 -245966968.571877,-141901684.958398 -251534248.690762,-143719844.316449 -259922942.67774,-150646635.905448 -259922942.67774)))","POLYGON ((-150646640.398133 -259922952.67774,-186758505.001508 -219269527.326848,-186587929.415741 -219153490.062687,-176071278.541925 -216102473.679951,-174713775.692687 -216161381.220397,-142268467.505397 -245966963.917469,-141901674.887647 -251534249.435586,-143719836.251658 -259922952.67774,-150646640.398133 -259922952.67774))","864"
"MULTIPOLYGON (((-141901666.077288 -251534231.049803,-142268457.477947 -245966964.005058,-140193313.97382 -221100273.00969,-110113832.670636 -229256578.587686,-141901666.077288 -251534231.049803)))","POLYGON ((-141901674.887647 -251534249.435586,-142268467.505397 -245966963.917469,-140193322.941024 -221100260.217042,-110113809.447572 -229256574.523702,-141901674.887647 -251534249.435586))","809"
"MULTIPOLYGON (((-452193658.890554 -259922942.67774,-505476966.708022 -250807823.996266,-487259707.530014 -232720948.267771,-454826380.549004 -238854960.193252,-449113885.457798 -259922942.67774,-452193658.890554 -259922942.67774)))","POLYGON ((-452193659.739731 -259922952.67774,-505476987.531667 -250807830.579255,-487259710.841727 -232720937.464164,-454826372.536562 -238854951.531346,-449113872.385259 -259922952.67774,-452193659.739731 -259922952.67774))","595"
"MULTIPOLYGON (((-449113864.735636 -259922942.67774,-454826362.161055 -238854951.58455,-447012186.618528 -211163413.081896,-443476509.122412 -207929151.665053,-397300193.063224 -219759124.506907,-395616579.68821 -230699318.521065,-418600201.448179 -259922942.67774,-449113864.735636 -259922942.67774)))","POLYGON ((-449113872.385259 -259922952.67774,-454826372.536562 -238854951.531346,-447012195.4693 -211163407.6254,-443476511.880693 -207929140.63545,-397300184.184058 -219759116.458717,-395616569.144263 -230699321.290697,-418600196.590729 -259922952.67774,-449113872.385259 -259922952.67774))","707"
"MULTIPOLYGON (((-676716994.43863 -259922942.67774,-689011934.747363 -234267749.729408,-688851453.473804 -232816346.17376,-665211391.059425 -200472065.886552,-653624486.08183 -208818559.287775,-645015991.61507 -256867565.293064,-646197110.822215 -259922942.67774,-676716994.43863 -259922942.67774)))","POLYGON ((-676717000.735295 -259922952.67774,-689011945.001041 -234267751.472521,-688851463.120264 -232816342.425152,-665211393.272725 -200472051.967911,-653624476.952431 -208818553.539717,-645015981.27788 -256867566.286387,-646197103.966742 -259922952.67774,-676717000.735295 -259922952.67774))","174"
"MULTIPOLYGON (((-645015975.644525 -256867541.02488,-653624464.746092 -208818564.965847,-639318678.842251 -210417048.493986,-635945493.368887 -244056883.749445,-645015975.644525 -256867541.02488)))","POLYGON ((-645015981.27788 -256867566.286387,-653624476.952431 -208818553.539717,-639318669.698631 -210417039.453433,-635945483.045488 -244056886.474497,-645015981.27788 -256867566.286387))","217"
"MULTIPOLYGON (((-1122783364.17361 -259922942.67774,-1115292471.8045 -231953938.844677,-1080589108.65414 -259922942.67774,-1122783364.17361 -259922942.67774)))","POLYGON ((-1122783377.20434 -259922952.67774,-1115292477.48988 -231953921.419098,-1080589080.31043 -259922952.67774,-1122783377.20434 -259922952.67774))","40"
"MULTIPOLYGON (((-87785366.325178 -259922942.67774,-99036729.3332419 -231095329.759516,-84426200.4316109 -207913637.969065,-77709993.9514077 -207494386.923457,-63246020.5681189 -210557620.280206,-53942548.1822197 -259922942.67774,-87785366.325178 -259922942.67774)))","POLYGON ((-87785373.1568725 -259922952.67774,-99036740.4831548 -231095328.695618,-84426206.1626525 -207913628.307354,-77709993.2135098 -207494376.85793,-63246011.9755409 -210557611.878172,-53942536.1215632 -259922952.67774,-87785373.1568725 -259922952.67774))","850"
"MULTIPOLYGON (((-378011764.575143 -242830140.573661,-395616559.916959 -230699315.504727,-397300173.716171 -219759118.73411,-389653135.44066 -208106914.943671,-358250648.708125 -228468575.894833,-359158853.536139 -233285083.418798,-378011764.575143 -242830140.573661)))","POLYGON ((-378011765.357802 -242830152.178529,-395616569.144263 -230699321.290697,-397300184.184058 -219759116.458717,-389653138.34453 -208106901.142577,-358250637.638072 -228468571.154559,-359158844.622463 -233285090.1145,-378011765.357802 -242830152.178529))","27"
"MULTIPOLYGON (((-349437890.54569 -239586210.728584,-359158833.552213 -233285085.373182,-358250628.041843 -228468574.230456,-353025233.201375 -217194039.688842,-345727634.399086 -215564708.620255,-331661786.993557 -221318071.877592,-330553403.251004 -225865985.703695,-333746374.503057 -229425853.906146,-349437890.54569 -239586210.728584)))","POLYGON ((-349437890.548605 -239586222.64376,-359158844.622463 -233285090.1145,-358250637.638072 -228468571.154559,-353025240.19843 -217194031.004856,-345727633.516627 -215564698.177014,-331661778.485884 -221318064.553297,-330553392.287316 -225865988.456907,-333746367.948896 -229425861.575574,-349437890.548605 -239586222.64376))","275"
"MULTIPOLYGON (((-571893529.285033 -259922942.67774,-580920642.432322 -241490338.984856,-543254318.424081 -197783261.284117,-537960220.89865 -195467105.753146,-537085481.824634 -196524585.613704,-533477539.454078 -222428058.706914,-549872991.654976 -259922942.67774,-571893529.285033 -259922942.67774)))","POLYGON ((-571893535.522488 -259922952.67774,-580920654.315862 -241490337.456028,-543254324.515082 -197783253.033769,-537960217.999065 -195467093.569437,-537085472.311495 -196524581.42518,-533477529.160002 -222428060.125175,-549872985.113452 -259922952.67774,-571893535.522488 -259922952.67774))","854"
"MULTIPOLYGON (((-616992057.339193 -259922942.67774,-599482757.426616 -227849742.701851,-585982170.484319 -239327118.849445,-609942076.326881 -259922942.67774,-616992057.339193 -259922942.67774)))","POLYGON ((-616992074.191452 -259922952.67774,-599482760.314227 -227849727.121675,-585982155.094761 -239327118.807404,-609942072.619612 -259922952.67774,-616992074.191452 -259922952.67774))","412"
"MULTIPOLYGON (((-580920657.114254 -241490325.385017,-585982149.771808 -239327110.207349,-599482752.95317 -227849720.254292,-607475839.574861 -217006121.999536,-608017507.930791 -202486389.217816,-543254347.814931 -197783264.752147,-580920657.114254 -241490325.385017)))","POLYGON ((-580920654.315862 -241490337.456028,-585982155.094761 -239327118.807404,-599482760.314227 -227849727.121675,-607475849.453014 -217006125.452171,-608017518.283739 -202486379.943317,-543254324.515082 -197783253.033769,-580920654.315862 -241490337.456028))","490"
"MULTIPOLYGON (((-1146679853.0313 -259922942.67774,-1145250839.31529 -228787659.155136,-1135696398.86306 -212652955.410497,-1119752571.42006 -217032499.456931,-1115292487.88236 -231953921.568578,-1122783384.87851 -259922942.67774,-1146679853.0313 -259922942.67774)))","POLYGON ((-1146679863.5008 -259922952.67774,-1145250849.19044 -228787656.20555,-1135696403.57707 -212652943.745224,-1119752563.42633 -217032491.282293,-1115292477.48988 -231953921.419098,-1122783377.20434 -259922952.67774,-1146679863.5008 -259922952.67774))","286"
"MULTIPOLYGON (((-53942527.8301406 -259922942.67774,-63246001.0577621 -210557615.813928,-53265668.2431337 -202277779.301833,-42628904.9072633 -203443417.249551,-29359417.1941051 -238455244.481235,-41508314.1261952 -259922942.67774,-53942527.8301406 -259922942.67774)))","POLYGON ((-53942536.1215632 -259922952.67774,-63246011.9755409 -210557611.878172,-53265671.3664753 -202277768.899693,-42628897.7276471 -203443407.976469,-29359406.1806617 -238455245.323788,-41508308.2950904 -259922952.67774,-53942536.1215632 -259922952.67774))","876"
"MULTIPOLYGON (((-1080589076.78231 -259922942.67774,-1115292468.79775 -231953915.581008,-1119752550.94975 -217032498.10526,-1118721849.99665 -216736692.183498,-1062912826.80826 -259922942.67774,-1080589076.78231 -259922942.67774)))","POLYGON ((-1080589080.31043 -259922952.67774,-1115292477.48988 -231953921.419098,-1119752563.42633 -217032491.282293,-1118721847.88442 -216736681.173617,-1062912797.54524 -259922952.67774,-1080589080.31043 -259922952.67774))","791"
"MULTIPOLYGON (((-1058700773.11177 -259922942.67774,-1039543204.71287 -202541604.821684,-1017067579.98233 -203203137.446736,-1000935502.58928 -221601991.477344,-1026455619.68449 -259922942.67774,-1058700773.11177 -259922942.67774)))","POLYGON ((-1058700786.99302 -259922952.67774,-1039543211.8453 -202541594.607422,-1017067575.33463 -203203127.579203,-1000935490.02003 -221601990.644446,-1026455614.32949 -259922952.67774,-1058700786.99302 -259922952.67774))","105"
"MULTIPOLYGON (((-233377891.034446 -251774795.13871,-244883491.928872 -231981278.780151,-241871397.57491 -222139969.979066,-239367220.709152 -220538168.330211,-196820709.661457 -215562290.258208,-189876827.537068 -220067878.110752,-196112249.686484 -237802662.076957,-233377891.034446 -251774795.13871)))","POLYGON ((-233377895.434295 -251774807.468131,-244883502.769226 -231981280.02973,-241871406.060919 -222139963.536376,-239367224.157831 -220538158.665383,-196820707.242471 -215562279.907148,-189876815.493351 -220067874.004768,-196112241.801964 -237802669.800558,-233377895.434295 -251774807.468131))","122"
"MULTIPOLYGON (((-804328944.605657 -248274572.521837,-840002279.762258 -238094311.319332,-839736704.70919 -235610733.528314,-823186294.127102 -218830690.92806,-801873451.326794 -211231099.401707,-804328944.605657 -248274572.521837)))","POLYGON ((-804328935.446306 -248274585.534907,-840002290.600544 -238094318.625585,-839736714.281177 -235610728.992527,-823186299.640366 -218830682.277237,-801873440.34145 -211231084.86792,-804328935.446306 -248274585.534907))","543"
