WKT,rand_point_id
"POLYGON ((-233370433.971325 -259922952.67774,-233377895.434295 -251774807.468131,-196112241.801964 -237802669.800558,-195005945.825352 -241320374.219372,-198117858.211318 -259922952.67774,-233370433.971325 -259922952.67774))","407"
"POLYGON ((-967979561.731202 -259922952.67774,-948518995.902316 -223845206.568447,-947859929.293569 -224173130.135829,-937782851.839141 -243630975.113609,-936614123.335208 -259922952.67774,-967979561.731202 -259922952.67774))","435"
"POLYGON ((-1026455614.32949 -259922952.67774,-1000935490.02003 -221601990.644446,-995948772.072718 -221779394.444898,-994604827.977252 -222085550.574679,-983685684.951054 -259922952.67774,-1026455614.32949 -259922952.67774))","367"
"POLYGON ((-331648953.664301 -251328750.456773,-336330919.874499 -250400755.288978,-333746367.948896 -229425861.575574,-330553392.287316 -225865988.456907,-326466283.136249 -229163931.188153,-321434103.645688 -246816264.80031,-331648953.664301 -251328750.456773))","416"
"POLYGON ((-983685684.951054 -259922952.67774,-994604827.977252 -222085550.574679,-976610061.344007 -220494441.367279,-971784167.155092 -259922952.67774,-983685684.951054 -259922952.67774))","567"
"POLYGON ((-372084528.379978 -259922952.67774,-378011765.357802 -242830152.178529,-359158844.622463 -233285090.1145,-349437890.548605 -239586222.64376,-346491589.76041 -252454374.322717,-350795084.255448 -259922952.67774,-372084528.379978 -259922952.67774))","580"
"POLYGON ((-346491589.76041 -252454374.322717,-349437890.548605 -239586222.64376,-333746367.948896 -229425861.575574,-336330919.874499 -250400755.288978,-346491589.76041 -252454374.322717))","830"
"POLYGON ((-936614123.335208 -259922952.67774,-937782851.839141 -243630975.113609,-926540810.920374 -240772383.255196,-910810556.955854 -246855507.191049,-909863075.734091 -255096565.148559,-911074980.118266 -259922952.67774,-936614123.335208 -259922952.67774))","605"
"POLYGON ((-549872985.113452 -259922952.67774,-533477529.160002 -222428060.125175,-506690342.538293 -251596588.623605,-507969010.580424 -259922952.67774,-549872985.113452 -259922952.67774))","206"
"POLYGON ((-310594887.708278 -259922952.67774,-310914624.631569 -252417720.625575,-301846637.515461 -243244944.352734,-286025493.992341 -247312807.210157,-289242888.082803 -259922952.67774,-310594887.708278 -259922952.67774))","775"
"POLYGON ((-310914624.631569 -252417720.625575,-321434103.645688 -246816264.80031,-326466283.136249 -229163931.188153,-303548011.987874 -229579979.951118,-301846637.515461 -243244944.352734,-310914624.631569 -252417720.625575))","1013"
"POLYGON ((-143719836.251658 -259922952.67774,-141901674.887647 -251534249.435586,-110113809.447572 -229256574.523702,-106639518.632027 -228360833.970005,-99036740.4831548 -231095328.695618,-87785373.1568725 -259922952.67774,-143719836.251658 -259922952.67774))","235"
"POLYGON ((-910810556.955854 -246855507.191049,-926540810.920374 -240772383.255196,-921595181.893477 -234802659.225925,-909574295.544132 -240097317.676465,-910810556.955854 -246855507.191049))","408"
"POLYGON ((-909863075.734091 -255096565.148559,-910810556.955854 -246855507.191049,-909574295.544132 -240097317.676465,-900875776.912285 -224670807.212851,-883142854.871576 -241538661.252818,-909863075.734091 -255096565.148559))","955"
"POLYGON ((-802045206.200266 -259922952.67774,-803498706.383491 -250327163.629876,-780765119.945007 -238269383.477644,-766519412.186715 -247739397.202207,-763227757.833595 -257989312.988223,-763449073.772119 -259922952.67774,-802045206.200266 -259922952.67774))","328"
"POLYGON ((-803498706.383491 -250327163.629876,-804328935.446306 -248274585.534907,-801873440.34145 -211231084.86792,-801610278.619022 -210961211.858748,-798649591.874844 -209842961.906238,-780765119.945007 -238269383.477644,-803498706.383491 -250327163.629876))","468"
"POLYGON ((-506690342.538293 -251596588.623605,-533477529.160002 -222428060.125175,-537085472.311495 -196524581.42518,-501304785.20301 -205941587.648055,-487259710.841727 -232720937.464164,-505476987.531667 -250807830.579255,-506690342.538293 -251596588.623605))","897"
"POLYGON ((-937782851.839141 -243630975.113609,-947859929.293569 -224173130.135829,-925242699.660236 -219986797.40697,-921595181.893477 -234802659.225925,-926540810.920374 -240772383.255196,-937782851.839141 -243630975.113609))","985"
"POLYGON ((-726168587.147236 -259922952.67774,-726070319.546919 -235744592.533217,-689011945.001041 -234267751.472521,-676717000.735295 -259922952.67774,-726168587.147236 -259922952.67774))","679"
"POLYGON ((-646197103.966742 -259922952.67774,-645015981.27788 -256867566.286387,-635945483.045488 -244056886.474497,-607475849.453014 -217006125.452171,-599482760.314227 -227849727.121675,-616992074.191452 -259922952.67774,-646197103.966742 -259922952.67774))","141"
"POLYGON ((-173681383.538854 -259922952.67774,-195005945.825352 -241320374.219372,-196112241.801964 -237802669.800558,-189876815.493351 -220067874.004768,-186758505.001508 -219269527.326848,-150646640.398133 -259922952.67774,-173681383.538854 -259922952.67774))","0"
"POLYGON ((-286025493.992341 -247312807.210157,-301846637.515461 -243244944.352734,-303548011.987874 -229579979.951118,-292153878.441813 -209606645.787905,-269414414.730116 -237471404.241926,-272787894.735118 -242457351.458454,-286025493.992341 -247312807.210157))","47"
"POLYGON ((-909574295.544132 -240097317.676465,-921595181.893477 -234802659.225925,-925242699.660236 -219986797.40697,-920227630.257891 -217363268.452929,-916744006.774102 -217447283.819783,-901040432.582034 -223825934.172749,-900875776.912285 -224670807.212851,-909574295.544132 -240097317.676465))","443"
"POLYGON ((-766519412.186715 -247739397.202207,-780765119.945007 -238269383.477644,-798649591.874844 -209842961.906238,-792446182.850965 -205127207.875763,-787865541.540318 -203340992.625523,-761379168.433238 -220969933.537156,-766519412.186715 -247739397.202207))","749"
"POLYGON ((-763227757.833595 -257989312.988223,-766519412.186715 -247739397.202207,-761379168.433238 -220969933.537156,-740032335.832383 -215471894.206666,-737989751.349861 -216706356.33197,-730959137.413143 -232514608.802026,-763227757.833595 -257989312.988223))","161"
"POLYGON ((-41508308.2950904 -259922952.67774,-29359406.1806617 -238455245.323788,-5928950.19750905 -216615506.493328,21259250.2959459 -238387561.239827,34646164.1334426 -258021906.072617,34646164.1334426 -259922952.67774,-41508308.2950904 -259922952.67774))","881"
"POLYGON ((-255413279.907167 -259922952.67774,-272608410.791989 -243518840.068748,-272787894.735118 -242457351.458454,-269414414.730116 -237471404.241926,-244883502.769226 -231981280.02973,-233377895.434295 -251774807.468131,-233370433.971325 -259922952.67774,-255413279.907167 -259922952.67774))","553"
"POLYGON ((-877384108.429439 -243922657.814926,-883142854.871576 -241538661.252818,-900875776.912285 -224670807.212851,-901040432.582034 -223825934.172749,-884675468.982412 -203472318.744478,-868168448.089435 -204307422.639901,-866034128.906464 -206441767.017115,-865486577.257129 -208155923.734895,-877384108.429439 -243922657.814926))","341"
"POLYGON ((-866607637.814494 -259922952.67774,-877384108.429439 -243922657.814926,-865486577.257129 -208155923.734895,-839736714.281177 -235610728.992527,-840002290.600544 -238094318.625585,-849868542.744402 -259922952.67774,-866607637.814494 -259922952.67774))","297"
"POLYGON ((-150646640.398133 -259922952.67774,-186758505.001508 -219269527.326848,-186587929.415741 -219153490.062687,-176071278.541925 -216102473.679951,-174713775.692687 -216161381.220397,-142268467.505397 -245966963.917469,-141901674.887647 -251534249.435586,-143719836.251658 -259922952.67774,-150646640.398133 -259922952.67774))","864"
"POLYGON ((-141901674.887647 -251534249.435586,-142268467.505397 -245966963.917469,-140193322.941024 -221100260.217042,-110113809.447572 -229256574.523702,-141901674.887647 -251534249.435586))","809"
"POLYGON ((-452193659.739731 -259922952.67774,-505476987.531667 -250807830.579255,-487259710.841727 -232720937.464164,-454826372.536562 -238854951.531346,-449113872.385259 -259922952.67774,-452193659.739731 -259922952.67774))","595"
"POLYGON ((-449113872.385259 -259922952.67774,-454826372.536562 -238854951.531346,-447012195.4693 -211163407.6254,-443476511.880693 -207929140.63545,-397300184.184058 -219759116.458717,-395616569.144263 -230699321.290697,-418600196.590729 -259922952.67774,-449113872.385259 -259922952.67774))","707"
"POLYGON ((-676717000.735295 -259922952.67774,-689011945.001041 -234267751.472521,-688851463.120264 -232816342.425152,-665211393.272725 -200472051.967911,-653624476.952431 -208818553.539717,-645015981.27788 -256867566.286387,-646197103.966742 -259922952.67774,-676717000.735295 -259922952.67774))","174"
"POLYGON ((-645015981.27788 -256867566.286387,-653624476.952431 -208818553.539717,-639318669.698631 -210417039.453433,-635945483.045488 -244056886.474497,-645015981.27788 -256867566.286387))","217"
"POLYGON ((-1122783377.20434 -259922952.67774,-1115292477.48988 -231953921.419098,-1080589080.31043 -259922952.67774,-1122783377.20434 -259922952.67774))","40"
"POLYGON ((-87785373.1568725 -259922952.67774,-99036740.4831548 -231095328.695618,-84426206.1626525 -207913628.307354,-77709993.2135098 -207494376.85793,-63246011.9755409 -210557611.878172,-53942536.1215632 -259922952.67774,-87785373.1568725 -259922952.67774))","850"
"POLYGON ((-378011765.357802 -242830152.178529,-395616569.144263 -230699321.290697,-397300184.184058 -219759116.458717,-389653138.34453 -208106901.142577,-358250637.638072 -228468571.154559,-359158844.622463 -233285090.1145,-378011765.357802 -242830152.178529))","27"
"POLYGON ((-349437890.548605 -239586222.64376,-359158844.622463 -233285090.1145,-358250637.638072 -228468571.154559,-353025240.19843 -217194031.004856,-345727633.516627 -215564698.177014,-331661778.485884 -221318064.553297,-330553392.287316 -225865988.456907,-333746367.948896 -229425861.575574,-349437890.548605 -239586222.64376))","275"
"POLYGON ((-571893535.522488 -259922952.67774,-580920654.315862 -241490337.456028,-543254324.515082 -197783253.033769,-537960217.999065 -195467093.569437,-537085472.311495 -196524581.42518,-533477529.160002 -222428060.125175,-549872985.113452 -259922952.67774,-571893535.522488 -259922952.67774))","854"
"POLYGON ((-616992074.191452 -259922952.67774,-599482760.314227 -227849727.121675,-585982155.094761 -239327118.807404,-609942072.619612 -259922952.67774,-616992074.191452 -259922952.67774))","412"
"POLYGON ((-580920654.315862 -241490337.456028,-585982155.094761 -239327118.807404,-599482760.314227 -227849727.121675,-607475849.453014 -217006125.452171,-608017518.283739 -202486379.943317,-543254324.515082 -197783253.033769,-580920654.315862 -241490337.456028))","490"
"POLYGON ((-1146679863.5008 -259922952.67774,-1145250849.19044 -228787656.20555,-1135696403.57707 -212652943.745224,-1119752563.42633 -217032491.282293,-1115292477.48988 -231953921.419098,-1122783377.20434 -259922952.67774,-1146679863.5008 -259922952.67774))","286"
"POLYGON ((-53942536.1215632 -259922952.67774,-63246011.9755409 -210557611.878172,-53265671.3664753 -202277768.899693,-42628897.7276471 -203443407.976469,-29359406.1806617 -238455245.323788,-41508308.2950904 -259922952.67774,-53942536.1215632 -259922952.67774))","876"
"POLYGON ((-1080589080.31043 -259922952.67774,-1115292477.48988 -231953921.419098,-1119752563.42633 -217032491.282293,-1118721847.88442 -216736681.173617,-1062912797.54524 -259922952.67774,-1080589080.31043 -259922952.67774))","791"
"POLYGON ((-1058700786.99302 -259922952.67774,-1039543211.8453 -202541594.607422,-1017067575.33463 -203203127.579203,-1000935490.02003 -221601990.644446,-1026455614.32949 -259922952.67774,-1058700786.99302 -259922952.67774))","105"
"POLYGON ((-233377895.434295 -251774807.468131,-244883502.769226 -231981280.02973,-241871406.060919 -222139963.536376,-239367224.157831 -220538158.665383,-196820707.242471 -215562279.907148,-189876815.493351 -220067874.004768,-196112241.801964 -237802669.800558,-233377895.434295 -251774807.468131))","122"
"POLYGON ((-804328935.446306 -248274585.534907,-840002290.600544 -238094318.625585,-839736714.281177 -235610728.992527,-823186299.640366 -218830682.277237,-801873440.34145 -211231084.86792,-804328935.446306 -248274585.534907))","543"
"POLYGON ((-303548011.987874 -229579979.951118,-326466283.136249 -229163931.188153,-330553392.287316 -225865988.456907,-331661778.485884 -221318064.553297,-326047645.944456 -213323226.688503,-293011282.189745 -201500011.361857,-292153878.441813 -209606645.787905,-303548011.987874 -229579979.951118))","790"
"POLYGON ((-1061436855.39043 -259922952.67774,-1089652928.57541 -204756235.54801,-1087785266.16115 -200164158.815244,-1054946025.44196 -183093103.722062,-1039543211.8453 -202541594.607422,-1058700786.99302 -259922952.67774,-1061436855.39043 -259922952.67774))","358"
"POLYGON ((-726070319.546919 -235744592.533217,-730959137.413143 -232514608.802026,-737989751.349861 -216706356.33197,-722152852.963137 -207883143.628052,-708408936.339242 -202740638.157317,-688851463.120264 -232816342.425152,-689011945.001041 -234267751.472521,-726070319.546919 -235744592.533217))","271"
"POLYGON ((-110113809.447572 -229256574.523702,-140193322.941024 -221100260.217042,-142097291.041409 -212347038.639784,-141105513.372154 -210480396.716492,-122700512.404241 -199497772.926169,-106639518.632027 -228360833.970005,-110113809.447572 -229256574.523702))","935"
"POLYGON ((-99036740.4831548 -231095328.695618,-106639518.632027 -228360833.970005,-122700512.404241 -199497772.926169,-114038728.455598 -185237454.002863,-105773211.11425 -185928948.324844,-84426206.1626525 -207913628.307354,-99036740.4831548 -231095328.695618))","21"
"POLYGON ((-454826372.536562 -238854951.531346,-487259710.841727 -232720937.464164,-501304785.20301 -205941587.648055,-480701569.003857 -198220553.953361,-447012195.4693 -211163407.6254,-454826372.536562 -238854951.531346))","137"
"POLYGON ((-1205599189.91278 -259922952.67774,-1205599189.91278 -228452733.491102,-1145250849.19044 -228787656.20555,-1146679863.5008 -259922952.67774,-1205599189.91278 -259922952.67774))","351"
"POLYGON ((-269414414.730116 -237471404.241926,-292153878.441813 -209606645.787905,-293011282.189745 -201500011.361857,-291908515.921255 -197790650.964016,-254347899.929212 -205346985.389842,-241871406.060919 -222139963.536376,-244883502.769226 -231981280.02973,-269414414.730116 -237471404.241926))","933"
"POLYGON ((-358250637.638072 -228468571.154559,-389653138.34453 -208106901.142577,-386904336.299387 -202788741.736435,-385554841.290531 -202436972.246416,-369489995.147992 -203692657.119998,-353025240.19843 -217194031.004856,-358250637.638072 -228468571.154559))","713"
"POLYGON ((-142268467.505397 -245966963.917469,-174713775.692687 -216161381.220397,-142097291.041409 -212347038.639784,-140193322.941024 -221100260.217042,-142268467.505397 -245966963.917469))","769"
"POLYGON ((-901040432.582034 -223825934.172749,-916744006.774102 -217447283.819783,-909052490.625393 -196208320.030885,-899094766.477508 -187602140.008153,-884675468.982412 -203472318.744478,-901040432.582034 -223825934.172749))","730"
"POLYGON ((-353025240.19843 -217194031.004856,-369489995.147992 -203692657.119998,-346649787.795538 -188318271.552308,-343674936.78092 -187792667.983387,-345727633.516627 -215564698.177014,-353025240.19843 -217194031.004856))","199"
"POLYGON ((-331661778.485884 -221318064.553297,-345727633.516627 -215564698.177014,-343674936.78092 -187792667.983387,-337457110.662798 -183496439.349812,-336117619.316697 -183178022.294615,-326047645.944456 -213323226.688503,-331661778.485884 -221318064.553297))","334"
"POLYGON ((-947859929.293569 -224173130.135829,-948518995.902316 -223845206.568447,-959175096.390893 -212461463.394357,-956401684.233137 -188173201.323022,-928807210.194062 -195940144.763479,-925861217.713738 -198663562.777711,-920227630.257891 -217363268.452929,-925242699.660236 -219986797.40697,-947859929.293569 -224173130.135829))","806"
"POLYGON ((-916744006.774102 -217447283.819783,-920227630.257891 -217363268.452929,-925861217.713738 -198663562.777711,-909052490.625393 -196208320.030885,-916744006.774102 -217447283.819783))","265"
"POLYGON ((34646164.1334426 -258021906.072617,21259250.2959459 -238387561.239827,26552768.1989217 -208522069.215195,34646164.1334426 -208737277.005763,34646164.1334426 -258021906.072617))","327"
"POLYGON ((21259250.2959459 -238387561.239827,-5928950.19750905 -216615506.493328,-9128945.59861016 -194087454.741728,-8201143.9546454 -191852857.939256,8334695.98456931 -180289209.300901,17663003.5708957 -177079005.696919,26552768.1989217 -208522069.215195,21259250.2959459 -238387561.239827))","291"
"POLYGON ((-971784167.155092 -259922952.67774,-976610061.344007 -220494441.367279,-959175096.390893 -212461463.394357,-948518995.902316 -223845206.568447,-967979561.731202 -259922952.67774,-971784167.155092 -259922952.67774))","939"
"POLYGON ((-839736714.281177 -235610728.992527,-865486577.257129 -208155923.734895,-866034128.906464 -206441767.017115,-841667597.551059 -200832036.4545,-823186299.640366 -218830682.277237,-839736714.281177 -235610728.992527))","423"
"POLYGON ((-994604827.977252 -222085550.574679,-995948772.072718 -221779394.444898,-982043267.212089 -174288783.353908,-974794798.692198 -169615310.97786,-959595309.398814 -175391492.020837,-956401684.233137 -188173201.323022,-959175096.390893 -212461463.394357,-976610061.344007 -220494441.367279,-994604827.977252 -222085550.574679))","10"
"POLYGON ((-635945483.045488 -244056886.474497,-639318669.698631 -210417039.453433,-608263690.60152 -202173118.672298,-608017518.283739 -202486379.943317,-607475849.453014 -217006125.452171,-635945483.045488 -244056886.474497))","237"
"POLYGON ((-995948772.072718 -221779394.444898,-1000935490.02003 -221601990.644446,-1017067575.33463 -203203127.579203,-1006167940.20169 -184534317.638317,-982043267.212089 -174288783.353908,-995948772.072718 -221779394.444898))","891"
"POLYGON ((-241871406.060919 -222139963.536376,-254347899.929212 -205346985.389842,-247198835.883698 -175073337.91737,-233805403.034723 -172429928.832794,-223080868.390574 -184331957.759077,-239367224.157831 -220538158.665383,-241871406.060919 -222139963.536376))","424"
"POLYGON ((-737989751.349861 -216706356.33197,-740032335.832383 -215471894.206666,-751669212.556281 -166606233.696538,-739541050.38106 -161269030.406564,-722152852.963137 -207883143.628052,-737989751.349861 -216706356.33197))","419"
"POLYGON ((-174713775.692687 -216161381.220397,-176071278.541925 -216102473.679951,-159908320.594467 -184665239.167454,-152776272.737488 -190963784.457812,-141105513.372154 -210480396.716492,-142097291.041409 -212347038.639784,-174713775.692687 -216161381.220397))","885"
"POLYGON ((-761379168.433238 -220969933.537156,-787865541.540318 -203340992.625523,-776446672.267988 -187962339.82816,-753059466.529038 -166592456.505378,-751669212.556281 -166606233.696538,-740032335.832383 -215471894.206666,-761379168.433238 -220969933.537156))","929"
"POLYGON ((-1062912797.54524 -259922952.67774,-1118721847.88442 -216736681.173617,-1089652928.57541 -204756235.54801,-1061436855.39043 -259922952.67774,-1062912797.54524 -259922952.67774))","771"
"POLYGON ((-1119752563.42633 -217032491.282293,-1135696403.57707 -212652943.745224,-1141026580.19219 -201444138.043561,-1137378383.38406 -175990511.769925,-1123199955.58957 -168643580.815195,-1105212221.4529 -174029295.318298,-1087785266.16115 -200164158.815244,-1089652928.57541 -204756235.54801,-1118721847.88442 -216736681.173617,-1119752563.42633 -217032491.282293))","381"
"POLYGON ((-29359406.1806617 -238455245.323788,-42628897.7276471 -203443407.976469,-9128945.59861016 -194087454.741728,-5928950.19750905 -216615506.493328,-29359406.1806617 -238455245.323788))","4"
"POLYGON ((-639318669.698631 -210417039.453433,-653624476.952431 -208818553.539717,-665211393.272725 -200472051.967911,-666710732.446062 -182222075.284353,-656020269.256508 -164929731.09112,-625687879.28276 -168602814.060303,-615107205.380728 -178569414.795502,-608263690.60152 -202173118.672298,-639318669.698631 -210417039.453433))","75"
"POLYGON ((-189876815.493351 -220067874.004768,-196820707.242471 -215562279.907148,-209610118.394062 -188049983.328365,-190153721.549966 -170453298.626002,-179389237.961538 -181094588.227389,-186587929.415741 -219153490.062687,-186758505.001508 -219269527.326848,-189876815.493351 -220067874.004768))","372"
"POLYGON ((-186587929.415741 -219153490.062687,-179389237.961538 -181094588.227389,-160461925.066629 -183263832.36186,-159908320.594467 -184665239.167454,-176071278.541925 -216102473.679951,-186587929.415741 -219153490.062687))","177"
"POLYGON ((-239367224.157831 -220538158.665383,-223080868.390574 -184331957.759077,-209610118.394062 -188049983.328365,-196820707.242471 -215562279.907148,-239367224.157831 -220538158.665383))","110"
"POLYGON ((-823186299.640366 -218830682.277237,-841667597.551059 -200832036.4545,-832867757.325365 -186510727.705738,-828495756.764114 -184232039.560629,-825336891.285556 -187041690.216695,-801610278.619022 -210961211.858748,-801873440.34145 -211231084.86792,-823186299.640366 -218830682.277237))","489"
"POLYGON ((-63246011.9755409 -210557611.878172,-77709993.2135098 -207494376.85793,-73148597.061152 -169488680.176751,-63316568.7514639 -163263133.583399,-59886718.8136945 -165011861.135629,-55996140.7585578 -170250764.720396,-53265671.3664753 -202277768.899693,-63246011.9755409 -210557611.878172))","250"
"POLYGON ((-84426206.1626525 -207913628.307354,-105773211.11425 -185928948.324844,-91295204.0494149 -174711409.448741,-73148597.061152 -169488680.176751,-77709993.2135098 -207494376.85793,-84426206.1626525 -207913628.307354))","647"
"POLYGON ((-925861217.713738 -198663562.777711,-928807210.194062 -195940144.763479,-903792442.314451 -171299191.24421,-899094766.477508 -187602140.008153,-909052490.625393 -196208320.030885,-925861217.713738 -198663562.777711))","648"
"POLYGON ((-722152852.963137 -207883143.628052,-739541050.38106 -161269030.406564,-739155488.283756 -161075435.895372,-730943413.406018 -161575509.793022,-721508459.703192 -167130388.812287,-704796273.83549 -184750891.568184,-708408936.339242 -202740638.157317,-722152852.963137 -207883143.628052))","768"
"POLYGON ((-688851463.120264 -232816342.425152,-708408936.339242 -202740638.157317,-704796273.83549 -184750891.568184,-666710732.446062 -182222075.284353,-665211393.272725 -200472051.967911,-688851463.120264 -232816342.425152))","505"
"POLYGON ((-1145250849.19044 -228787656.20555,-1205599189.91278 -228452733.491102,-1205599189.91278 -207909297.333561,-1181452342.69979 -201876013.811039,-1141026580.19219 -201444138.043561,-1135696403.57707 -212652943.745224,-1145250849.19044 -228787656.20555))","211"
"POLYGON ((-397300184.184058 -219759116.458717,-443476511.880693 -207929140.63545,-437316058.507553 -176831871.1654,-392604874.444202 -191585188.505406,-386904336.299387 -202788741.736435,-389653138.34453 -208106901.142577,-397300184.184058 -219759116.458717))","507"
"POLYGON ((-866034128.906464 -206441767.017115,-868168448.089435 -204307422.639901,-863483723.411737 -186040941.635934,-855484350.136475 -180425799.640436,-845824328.489441 -182735635.369368,-832867757.325365 -186510727.705738,-841667597.551059 -200832036.4545,-866034128.906464 -206441767.017115))","487"
"POLYGON ((-42628897.7276471 -203443407.976469,-53265671.3664753 -202277768.899693,-55996140.7585578 -170250764.720396,-24502410.0996909 -176576075.182673,-8201143.9546454 -191852857.939256,-9128945.59861016 -194087454.741728,-42628897.7276471 -203443407.976469))","968"
"POLYGON ((-801610278.619022 -210961211.858748,-825336891.285556 -187041690.216695,-806578603.061861 -179668025.247751,-802622108.570907 -183058921.903336,-792446182.850965 -205127207.875763,-798649591.874844 -209842961.906238,-801610278.619022 -210961211.858748))","69"
"POLYGON ((-501304785.20301 -205941587.648055,-537085472.311495 -196524581.42518,-537960217.999065 -195467093.569437,-537931878.989179 -192608258.747274,-487216126.238148 -160908397.508834,-479355761.893371 -183618455.761969,-480701569.003857 -198220553.953361,-501304785.20301 -205941587.648055))","304"
"POLYGON ((-141105513.372154 -210480396.716492,-152776272.737488 -190963784.457812,-121036881.985297 -175136985.517493,-114038728.455598 -185237454.002863,-122700512.404241 -199497772.926169,-141105513.372154 -210480396.716492))","837"
"POLYGON ((-868168448.089435 -204307422.639901,-884675468.982412 -203472318.744478,-899094766.477508 -187602140.008153,-903792442.314451 -171299191.24421,-904236379.912297 -166200939.221914,-883347909.563957 -162346278.279725,-879652750.116389 -162534790.934856,-863483723.411737 -186040941.635934,-868168448.089435 -204307422.639901))","725"
"POLYGON ((-447012195.4693 -211163407.6254,-480701569.003857 -198220553.953361,-479355761.893371 -183618455.761969,-438256924.242463 -170684425.267061,-437316058.507553 -176831871.1654,-443476511.880693 -207929140.63545,-447012195.4693 -211163407.6254))","654"
"POLYGON ((-369489995.147992 -203692657.119998,-385554841.290531 -202436972.246416,-367152560.741811 -178643321.561807,-346649787.795538 -188318271.552308,-369489995.147992 -203692657.119998))","953"
"POLYGON ((-386904336.299387 -202788741.736435,-392604874.444202 -191585188.505406,-391961501.293816 -177736096.238461,-386601058.79807 -161358731.535115,-368511889.298915 -162881833.109989,-367152560.741811 -178643321.561807,-385554841.290531 -202436972.246416,-386904336.299387 -202788741.736435))","789"
"POLYGON ((-1017067575.33463 -203203127.579203,-1039543211.8453 -202541594.607422,-1054946025.44196 -183093103.722062,-1054055474.33749 -174020545.19947,-1049266532.1456 -161738135.017395,-1031441802.75873 -154080097.837514,-1006167940.20169 -184534317.638317,-1017067575.33463 -203203127.579203))","196"
"POLYGON ((-792446182.850965 -205127207.875763,-802622108.570907 -183058921.903336,-799036461.27249 -167966742.40126,-776446672.267988 -187962339.82816,-787865541.540318 -203340992.625523,-792446182.850965 -205127207.875763))","249"
"POLYGON ((-802622108.570907 -183058921.903336,-806578603.061861 -179668025.247751,-817412603.409521 -167137912.356462,-815280682.779115 -162767134.053895,-800582984.611438 -163841207.375866,-799036461.27249 -167966742.40126,-802622108.570907 -183058921.903336))","309"
"POLYGON ((-825336891.285556 -187041690.216695,-828495756.764114 -184232039.560629,-827157972.989249 -176215252.040172,-817412603.409521 -167137912.356462,-806578603.061861 -179668025.247751,-825336891.285556 -187041690.216695))","975"
"POLYGON ((-326047645.944456 -213323226.688503,-336117619.316697 -183178022.294615,-309908656.273921 -164982480.665658,-294530091.364046 -182002647.216695,-291908515.921255 -197790650.964016,-293011282.189745 -201500011.361857,-326047645.944456 -213323226.688503))","555"
"POLYGON ((-832867757.325365 -186510727.705738,-845824328.489441 -182735635.369368,-839227253.858085 -166612676.740222,-827157972.989249 -176215252.040172,-828495756.764114 -184232039.560629,-832867757.325365 -186510727.705738))","124"
"POLYGON ((-1181452342.69979 -201876013.811039,-1162512598.59272 -169612345.01668,-1142495667.03894 -172275987.675674,-1137378383.38406 -175990511.769925,-1141026580.19219 -201444138.043561,-1181452342.69979 -201876013.811039))","244"
"POLYGON ((-608017518.283739 -202486379.943317,-608263690.60152 -202173118.672298,-615107205.380728 -178569414.795502,-582651622.483929 -163783006.484582,-554005725.458389 -164548815.701585,-543320410.145919 -177303140.897794,-537931878.989179 -192608258.747274,-537960217.999065 -195467093.569437,-543254324.515082 -197783253.033769,-608017518.283739 -202486379.943317))","787"
